CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
2.9787999999999997,2.9787999999999997,2.9787999999999997,2.9787999999999997,2.9787999999999997,2.9787999999999997,2.9787999999999997,2.9787999999999997
3.706722222222222,3.706722222222222,3.706722222222222,3.706722222222222,3.706722222222222,3.706722222222222,3.706722222222222,3.706722222222222
3.901611111111111,3.901611111111111,3.901611111111111,3.901611111111111,3.901611111111111,3.901611111111111,3.901611111111111,3.901611111111111
4.149322222222223,4.149322222222223,4.149322222222223,4.149322222222223,4.149322222222223,4.149322222222223,4.149322222222223,4.149322222222223
4.079477777777779,4.079477777777779,4.079477777777779,4.079477777777779,4.079477777777779,4.079477777777779,4.079477777777779,4.079477777777779
4.3228,4.3228,4.3228,4.3228,4.3228,4.3228,4.3228,4.3228
3.783256666666667,3.783256666666667,3.783256666666667,3.783256666666667,3.783256666666667,3.783256666666667,3.783256666666667,3.783256666666667
3.875146666666666,3.875146666666666,3.875146666666666,3.875146666666666,3.875146666666666,3.875146666666666,3.875146666666666,3.875146666666666
3.676364444444444,3.676364444444444,3.676364444444444,3.676364444444444,3.676364444444444,3.676364444444444,3.676364444444444,3.676364444444444
3.3243155555555552,3.3243155555555552,3.3243155555555552,3.3243155555555552,3.3243155555555552,3.3243155555555552,3.3243155555555552,3.3243155555555552
3.289433333333333,3.289433333333333,3.289433333333333,3.289433333333333,3.289433333333333,3.289433333333333,3.289433333333333,3.289433333333333
2.6846999999999994,2.6846999999999994,2.6846999999999994,2.6846999999999994,2.6846999999999994,2.6846999999999994,2.6846999999999994,2.6846999999999994
2.7304399999999998,2.7304399999999998,2.7304399999999998,2.7304399999999998,2.7304399999999998,2.7304399999999998,2.7304399999999998,2.7304399999999998
2.6468466666666672,2.6468466666666672,2.6468466666666672,2.6468466666666672,2.6468466666666672,2.6468466666666672,2.6468466666666672,2.6468466666666672
2.580353333333333,2.580353333333333,2.580353333333333,2.580353333333333,2.580353333333333,2.580353333333333,2.580353333333333,2.580353333333333
2.2734349999999997,2.2734349999999997,2.2734349999999997,2.2734349999999997,2.2734349999999997,2.2734349999999997,2.2734349999999997,2.2734349999999997
